claim,tweet_id,label
Vitamin C cures coronavirus.,1235910609734074371,agree
Vitamin C cures coronavirus.,1234821471194767361,agree
Vitamin C cures coronavirus.,1220916806971355137,agree
Vitamin C can prevent coronavirus circulation.,1220916806971355137,agree
"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",1221484214228529153,agree
The Simpsons predicted COVID-19 pandemic.,1221489851045945344,agree
Drinking large amounts of water will protect against coronavirus.,1221880991268163584,agree
Essential oils cure coronavirus.,1222682108226932737,agree
The Simpsons predicted COVID-19 pandemic.,1222971432021512193,agree
Coronavirus is genetically engineered.,1222986461160427521,agree
Coronavirus is genetically engineered.,1223191787633893376,agree
Coronavirus is caused by 5G.,1223244150251933696,agree
Vitamin C cures coronavirus.,1223252740396273669,agree
Vitamin C can prevent coronavirus circulation.,1223252740396273669,agree
Drinking cow urine and applying cow dung on the body can cure covid-19.,1223309925062868994,agree
Coronavirus is genetically engineered.,1223428759761707009,agree
The Simpsons predicted COVID-19 pandemic.,1223758966209073152,agree
Coronavirus is genetically engineered.,1224423581960024064,agree
Coronavirus is genetically engineered.,1224509379996790787,agree
Drinking large amounts of water will protect against coronavirus.,1224604726613774336,agree
Coronavirus is genetically engineered.,1224677167755296768,agree
"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",1226011787990052865,agree
"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",1226546694441009154,agree
Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,1226645493129805833,agree
"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",1226649736624521217,agree
"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",1226962810493689858,agree
Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,1227406003496456194,agree
Jim Bakker's colloidal silver solution is a remedy for COVID-19.,1227707702178172930,agree
Jim Bakker's colloidal silver solution is a remedy for COVID-19.,1227998026658086921,agree
Coronavirus is genetically engineered.,1228053092567937024,agree
"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",1228375706129719296,agree
Jim Bakker's colloidal silver solution is a remedy for COVID-19.,1228421906862264320,agree
The Simpsons predicted COVID-19 pandemic.,1228892621843550208,agree
Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,1228895497923940352,agree
Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,1228896027987660800,agree
Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,1228937959954505729,agree
Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,1229241211875024898,agree
Coronavirus is genetically engineered.,1229304014191366145,agree
Coronavirus is genetically engineered.,1229583516297355264,agree
Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,1229625060824055808,agree
Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,1229651246593736707,agree
Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,1229785935476412421,agree
Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,1229916829252030465,agree
Coronavirus is caused by 5G.,1230160503290417155,agree
Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,1230245377539854336,agree
Chloroquine can cure coronavirus,1230368834219134976,agree
Chloroquine can cure coronavirus,1230387207552237570,agree
Chloroquine can cure coronavirus,1230388892253278209,agree
Chloroquine can cure coronavirus,1230388941381042176,agree
Chloroquine can cure coronavirus,1230413708473577478,agree
Chloroquine can cure coronavirus,1230422649966399489,agree
Chloroquine can cure coronavirus,1230430877093711872,agree
Chloroquine can cure coronavirus,1230431807415427072,agree
Chloroquine can cure coronavirus,1230449395176529920,agree
Chloroquine can cure coronavirus,1230463702148755456,agree
Coronavirus is genetically engineered.,1230546617322868736,agree
Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,1230553367866269698,agree
Coronavirus is genetically engineered.,1230658720776040450,agree
Coronavirus is genetically engineered.,1230682063738675200,agree
Chloroquine can cure coronavirus,1230722839554052096,agree
Chloroquine can cure coronavirus,1231156437134532608,agree
Vitamin C cures coronavirus.,1231972461073305601,agree
Coronavirus is genetically engineered.,1233075597837991938,agree
Chloroquine can cure coronavirus,1233279933805408256,agree
Chloroquine can cure coronavirus,1233360728536604672,agree
Salt water protects from coronavirus.,1233833044898914306,agree
Coronavirus is caused by 5G.,1233960831311699969,agree
Hand sanitiser sold commercially does not destroy the coronavirus.,1234035120690036736,agree
It is safe for individuals infected with COVID-19 to go to work.,1234037201006190592,agree
Essential oils cure coronavirus.,1234294232917008384,agree
Drinking cow urine and applying cow dung on the body can cure covid-19.,1234710087664427009,agree
Shaking hands cannot spread coronavirus.,1234795708647198720,agree
Shaking hands cannot spread coronavirus.,1234805741644632064,agree
Shaking hands cannot spread coronavirus.,1234814691618304002,agree
Shaking hands cannot spread coronavirus.,1234818686688661504,agree
Vitamin C cures coronavirus.,1234913584364150784,agree
Vitamin C cures coronavirus.,1234921665546588161,agree
Drinking cow urine and applying cow dung on the body can cure covid-19.,1234939184814710787,agree
Vitamin C cures coronavirus.,1234955596266442753,agree
Vitamin C cures coronavirus.,1234959263258284032,agree
Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,1234988152894320646,agree
Using namaste as a greeting prevents transmission of covid-19.,1235175993939234816,agree
Holy communion cannot be the cause of the spread of coronavirus,1235217259280334849,agree
Using namaste as a greeting prevents transmission of covid-19.,1235235180152946689,agree
Using namaste as a greeting prevents transmission of covid-19.,1235235760653115396,agree
Using namaste as a greeting prevents transmission of covid-19.,1235256279125225472,agree
Using namaste as a greeting prevents transmission of covid-19.,1235438477656731650,agree
Vitamin C cures coronavirus.,1235654018505949185,agree
Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,1235727062993788930,agree
Vitamin C cures coronavirus.,1236806070875512832,agree
Vitamin C cures coronavirus.,1237598929706864640,agree
Coronavirus is caused by 5G.,1237598929706864640,agree
Vitamin C can prevent coronavirus circulation.,1237598929706864640,agree
Chloroquine can cure coronavirus,1240666122166435844,agree
Vitamin C cures coronavirus.,1242669787475369985,agree
Chloroquine is a Food and Drug Administration (FDA) approved treatment for COVID-19.,1245858931366178817,agree
Chloroquine can cure coronavirus,1250225931790114816,agree
Chloroquine can cure coronavirus,1250243270866882560,agree
COVID-19 is only as deadly as the seasonal flu.,1250465053054246912,agree
"A Malabar civet was spotted walking the streets of Meppayur, India following COVID-19 lockdown",1253338251672252419,agree
Chloroquine can cure coronavirus,1253343205216706565,agree
Vitamin C can prevent coronavirus circulation.,1253657240566820864,agree
Vitamin C cures coronavirus.,1253657240566820864,agree
Vitamin D pills prevent COVID-19.,1254911488294256640,agree
COVID-19 is only as deadly as the seasonal flu.,1254956129295069184,agree
Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,1256445585474945028,agree
Using namaste as a greeting prevents transmission of covid-19.,1257136320104796160,agree
Vitamin C cures coronavirus.,1257672406153428993,agree
Jim Bakker's colloidal silver solution is a remedy for COVID-19.,1258946913342304256,agree
Vitamin D pills prevent COVID-19.,1260273818779566080,agree
Vitamin D pills prevent COVID-19.,1262833355520765952,agree
Drinking cow urine and applying cow dung on the body can cure covid-19.,1268739777802588160,agree
COVID-19 is only as deadly as the seasonal flu.,1269944033520095232,agree
Using namaste as a greeting prevents transmission of covid-19.,1270932237370851328,agree
Coronavirus is genetically engineered.,1271018704877355009,agree
Actor Keith Lawrence Middlebrook has a cure for COVID-19.,1272170231344041984,agree
Vitamin D pills prevent COVID-19.,1273544878216171520,agree
Coronavirus is caused by 5G.,1273969503601192960,agree
Shaking hands cannot spread coronavirus.,1274484674681765895,agree
COVID-19 is only as deadly as the seasonal flu.,1274888782760665088,agree
Vitamin D pills prevent COVID-19.,1275163133271818245,agree
Vitamin C cures coronavirus.,1277578536367214594,agree
Chloroquine can cure coronavirus,1277642922301820929,agree
COVID-19 is only as deadly as the seasonal flu.,1277868130572828672,agree
Chloroquine can cure coronavirus,1279227027946700800,agree
Chloroquine can cure coronavirus,1280589458182717445,agree
Chloroquine is a Food and Drug Administration (FDA) approved treatment for COVID-19.,1280689697837191168,agree
COVID-19 is only as deadly as the seasonal flu.,1281934278239166464,agree
COVID-19 is only as deadly as the seasonal flu.,1282872234953121799,agree
COVID-19 is only as deadly as the seasonal flu.,1283442986186158080,agree
Coronavirus is caused by 5G.,1283724475725492224,agree
Essential oils cure coronavirus.,1285733873129791489,agree
Coronavirus is genetically engineered.,1285830012948512768,agree
Coronavirus is caused by 5G.,1285837331560267776,agree
Coronavirus is caused by 5G.,1285862548093521920,agree
Drinking cow urine and applying cow dung on the body can cure covid-19.,1286521997212540928,agree
Drinking cow urine and applying cow dung on the body can cure covid-19.,1286533720996892673,agree
COVID-19 is only as deadly as the seasonal flu.,1287026171796889600,agree
Vitamin D pills prevent COVID-19.,1287511495597789189,agree
Chloroquine can cure coronavirus,1288444702216335360,agree
Chloroquine can cure coronavirus,1289543471947120641,agree
Vitamin D pills prevent COVID-19.,1289648048872644608,agree
Chloroquine can cure coronavirus,1290138757018947587,agree
COVID-19 is only as deadly as the seasonal flu.,1291997542507581441,agree
The Simpsons predicted COVID-19 pandemic.,1292540147964301314,agree
Vitamin D pills prevent COVID-19.,1292925812249890822,agree
Vitamin D pills prevent COVID-19.,1292953717956722690,agree
Coronavirus is genetically engineered.,1293028125140553729,agree
Vitamin D pills prevent COVID-19.,1293620722074415106,agree
Chloroquine can cure coronavirus,1293689566856196096,agree
Blowing conch shells destroys coronavirus potency.,1294501299795275777,agree
The Simpsons predicted COVID-19 pandemic.,1295364569427251205,agree
Using namaste as a greeting prevents transmission of covid-19.,1296468347853443072,agree
Hand sanitiser sold commercially does not destroy the coronavirus.,1298728224822890496,agree
COVID-19 is only as deadly as the seasonal flu.,1300553284684374017,agree
Chloroquine can cure coronavirus,1300748870499135489,agree
Vitamin D pills prevent COVID-19.,1301544684297355270,agree
Vitamin D pills prevent COVID-19.,1301898047513862146,agree
Vitamin D pills prevent COVID-19.,1301967441002598400,agree
"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",1302208514035789824,agree
Vitamin D pills prevent COVID-19.,1302254347871428608,agree
Vitamin D pills prevent COVID-19.,1302595581097979904,agree
Vitamin C cures coronavirus.,1302595581097979904,agree
Vitamin C can prevent coronavirus circulation.,1302595581097979904,agree
Vitamin D pills prevent COVID-19.,1302914950751498245,agree
Coronavirus is genetically engineered.,1303100121341726720,agree
It is safe for individuals infected with COVID-19 to go to work.,1303714140645720067,agree
Vitamin D pills prevent COVID-19.,1304874572731293696,agree
Vitamin C cures coronavirus.,1305117086742650880,agree
Vitamin D pills prevent COVID-19.,1305196396073619456,agree
Vitamin D pills prevent COVID-19.,1305530301171535872,agree
It is safe for individuals infected with COVID-19 to go to work.,1306944327285903361,agree
Vitamin D pills prevent COVID-19.,1307031008613732352,agree
COVID-19 is only as deadly as the seasonal flu.,1308156881622519808,agree
Vitamin D pills prevent COVID-19.,1308803376591900678,agree
